Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
VinFast VF7,2026.0,750,Hà Nội,Ban xe oto VinFast VF7 2026 Eco gia 750 Triệu - Hà Nội,
VinFast VF5,2026.0,430,Hà Nội,Ban xe oto VinFast VF5 2026 Plus gia 430 Triệu - Hà Nội,
MG 5,2024.0,415,Hà Nội,Ban xe oto cu MG 5 2024 Standard 1.5 AT gia 415 Triệu - Hà Nội,10000.0
Toyota Innova,2019.0,440,TP HCM,Ban xe oto cu Toyota Innova 2019 2.0E gia 440 Triệu - TP HCM,150000.0
Hyundai Palisade,2024.0,1399,Hà Nội,Ban xe oto cu Hyundai Palisade 2024 Prestige 2.2 AT HTRAC gia 1 Tỷ 399 Triệu - Hà Nội,25000.0
Peugeot 3008,2020.0,580,Hà Nội,Ban xe oto cu Peugeot 3008 2020 Active 1.6 AT gia 580 Triệu - Hà Nội,80000.0
Toyota Corolla Cross,2026.0,855,Hà Nội,Ban xe oto Toyota Corolla Cross 2026 1.8HEV gia 855 Triệu - Hà Nội,
BMW Z4,2021.0,2299,Hà Nội,Ban xe oto cu BMW Z4 2021 sDrive30i M Sport gia 2 Tỷ 299 Triệu - Hà Nội,10300.0
Hyundai SantaFe,2023.0,1125,Hà Nội,Ban xe oto cu Hyundai SantaFe 2023 Cao cấp 2.5L HTRAC gia 1 Tỷ 125 Triệu - Hà Nội,30000.0
Thaco Frontier,2024.0,180,TP HCM,Ban xe oto cu Thaco Frontier 2024 Thùng Lửng gia 180 Triệu - TP HCM,1200.0
VinFast VF7,2026.0,780,Hà Nội,Ban xe oto VinFast VF7 2026 Plus gia 780 Triệu - Hà Nội,
Suzuki Jimny,2024.0,655,Hà Nội,Ban xe oto Suzuki Jimny 2024 1.5L 4x4 AT gia 655 Triệu - Hà Nội,
Honda CRV,2019.0,750,Hà Nội,Ban xe oto cu Honda CRV 2019 L gia 750 Triệu - Hà Nội,60000.0
Ford Ranger,2017.0,430,Hà Nội,Ban xe oto cu Ford Ranger 2017 XLS 2.2L 4x2 AT gia 430 Triệu - Hà Nội,100000.0
Hyundai Creta,2022.0,560,Hà Nội,Ban xe oto cu Hyundai Creta 2022 Đặc biệt 1.5 AT gia 560 Triệu - Hà Nội,70000.0
Hyundai SantaFe,2019.0,780,Quảng Ninh,Ban xe oto cu Hyundai SantaFe 2019 2.2L HTRAC gia 780 Triệu - Quảng Ninh,90000.0
Toyota Prado,2016.0,1270,Hà Nội,Ban xe oto cu Toyota Prado 2016 TXL 2.7L gia 1 Tỷ 270 Triệu - Hà Nội,190000.0
Ford Territory,2026.0,742,TP HCM,Ban xe oto Ford Territory 2026 Trend 1.5 AT gia 742 Triệu - TP HCM,
Toyota Hiace,2011.0,290,Hà Nội,Ban xe oto cu Toyota Hiace 2011 2.5 gia 290 Triệu - Hà Nội,200000.0
Mitsubishi Pajero Sport,2017.0,560,Hà Nội,Ban xe oto cu Mitsubishi Pajero Sport 2017 3.0G 4x2 AT gia 560 Triệu - Hà Nội,99000.0
Mercedes Benz GLS,2022.0,3990,Hà Nội,Ban xe oto cu Mercedes Benz GLS 2022 450 4Matic gia 3 Tỷ 990 Triệu - Hà Nội,50000.0
Porsche Macan,2022.0,2960,Hà Nội,Ban xe oto cu Porsche Macan 2022 2.0 gia 2 Tỷ 960 Triệu - Hà Nội,54000.0
Porsche Cayenne,2021.0,3900,Hà Nội,Ban xe oto cu Porsche Cayenne 2021 coupe gia 3 Tỷ 900 Triệu - Hà Nội,49000.0
Ford Everest,2023.0,1199,Hà Nội,Ban xe oto cu Ford Everest 2023 Titanium 2.0L 4x2 AT gia 1 Tỷ 199 Triệu - Hà Nội,27000.0
Toyota Prado,2021.0,2250,Hà Nội,Ban xe oto cu Toyota Prado 2021 VX 2.7L gia 2 Tỷ 250 Triệu - Hà Nội,88000.0
Mitsubishi Xpander,2026.0,620,Hà Nội,Ban xe oto Mitsubishi Xpander 2026 Cross 1.5 AT gia 620 Triệu - Hà Nội,
Toyota Land Cruiser,2004.0,495,Phú Thọ,Ban xe oto cu Toyota Land Cruiser 2004 GX 4.5 gia 495 Triệu - Phú Thọ,156896.0
Hyundai i10,2021.0,240,Hà Nội,Ban xe oto cu Hyundai i10 2021 Grand 1.2 MT Base gia 240 Triệu - Hà Nội,46000.0
Toyota Fortuner,2026.0,1320,TP HCM,Ban xe oto Toyota Fortuner 2026 Legender 2.8L 4x4 AT gia 1 Tỷ 320 Triệu - TP HCM,
Ford Ranger,2026.0,860,Hà Nội,Ban xe oto Ford Ranger 2026 Wildtrak 2.0L 4x4 AT gia 860 Triệu - Hà Nội,
Lexus IS,2011.0,1069,Hà Nội,Ban xe oto cu Lexus IS 2011 250C gia 1 Tỷ 69 Triệu - Hà Nội,77000.0
Isuzu QKR,2024.0,499,TP HCM,Ban xe oto cu Isuzu QKR 2024 QLR77FE5 Thùng Bạt gia 499 Triệu - TP HCM,71000.0
Kia Morning,2014.0,225,TP HCM,Ban xe oto cu Kia Morning 2014 Si AT gia 225 Triệu - TP HCM,100000.0
Volkswagen Viloran,2024.0,2079,TP HCM,Ban xe oto cu Volkswagen Viloran 2024 Luxury gia 2 Tỷ 79 Triệu - TP HCM,22400.0
Ford Ranger,2016.0,390,TP HCM,Ban xe oto cu Ford Ranger 2016 XLS 2.2L 4x2 AT gia 390 Triệu - TP HCM,95000.0
Toyota Corolla altis,2009.0,269,Hà Nội,Ban xe oto cu Toyota Corolla altis 2009 1.8G AT gia 269 Triệu - Hà Nội,120000.0
Mercedes Benz GLC,2020.0,1030,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2020 200 gia 1 Tỷ 30 Triệu - Hà Nội,120000.0
Toyota Innova,2021.0,615,Bình Dương,Ban xe oto cu Toyota Innova 2021 E 2.0 MT gia 615 Triệu - Bình Dương,23000.0
Toyota Veloz,2025.0,605,Hà Nội,Ban xe oto cu Toyota Veloz 2025 Cross Top 1.5 CVT gia 605 Triệu - Hà Nội,51000.0
Hyundai SantaFe,2020.0,825,Hà Nội,Ban xe oto cu Hyundai SantaFe 2020 Premium 2.2L HTRAC gia 825 Triệu - Hà Nội,12000.0
Peugeot,2008.0,685,Hà Nội,Ban xe oto cu Peugeot 2008 2024 GT Line 1.2 AT gia 685 Triệu - Hà Nội,24000.0
Volvo EC40,2024.0,1539,Hà Nội,Ban xe oto cu Volvo EC40 2024 Ultra gia 1 Tỷ 539 Triệu - Hà Nội,9000.0
Porsche Taycan,2023.0,3999,TP HCM,Ban xe oto cu Porsche Taycan 2023 Base gia 3 Tỷ 999 Triệu - TP HCM,9900.0
Mercedes Benz GLK Class,2009.0,368,Hà Nội,Ban xe oto cu Mercedes Benz GLK Class 2009 GLK280 4Matic gia 368 Triệu - Hà Nội,88000.0
LandRover Range Rover,2019.0,4500,Hà Nội,Ban xe oto cu LandRover Range Rover 2019 HSE 3.0 V6 gia 4 Tỷ 500 Triệu - Hà Nội,47000.0
Mercedes Benz S class,2007.0,355,Hà Nội,Ban xe oto cu Mercedes Benz S class 2007 S500 gia 355 Triệu - Hà Nội,180000.0
Mercedes Benz C class,2021.0,828,Hà Nội,Ban xe oto cu Mercedes Benz C class 2021 C180 AMG gia 828 Triệu - Hà Nội,80000.0
Honda Accord,2019.0,699,Đà Nẵng,Ban xe oto cu Honda Accord 2019 1.5 AT gia 699 Triệu - Đà Nẵng,60000.0
Kia Sedona,2018.0,670,Hà Nội,Ban xe oto cu Kia Sedona 2018 Platinum D gia 670 Triệu - Hà Nội,88000.0
Mercedes Benz GLB,2022.0,1759,TP HCM,Ban xe oto cu Mercedes Benz GLB 2022 35 4Matic gia 1 Tỷ 759 Triệu - TP HCM,26000.0
Lexus LS,2018.0,4480,TP HCM,Ban xe oto cu Lexus LS 2018 500h gia 4 Tỷ 480 Triệu - TP HCM,61949.0
Mazda CX5,2023.0,810,Hà Nội,Ban xe oto cu Mazda CX5 2023 Premium Exclusive 2.0 AT gia 810 Triệu - Hà Nội,20000.0
Hyundai SantaFe,2021.0,1030,Hà Nội,Ban xe oto cu Hyundai SantaFe 2021 Cao cấp 2.2L HTRAC gia 1 Tỷ 30 Triệu - Hà Nội,80000.0
Ford Ranger,2023.0,796,Hà Nội,Ban xe oto cu Ford Ranger 2023 Wildtrak 2.0L 4x4 AT gia 796 Triệu - Hà Nội,64000.0
Toyota Veloz,2026.0,574,Khánh Hòa,Ban xe oto Toyota Veloz 2026 Cross 1.5 CVT gia 574 Triệu - Khánh Hòa,
Mitsubishi Attrage,2020.0,230,Đà Nẵng,Ban xe oto cu Mitsubishi Attrage 2020 1.2 MT gia 230 Triệu - Đà Nẵng,
Mitsubishi Pajero Sport,2021.0,848,Hà Nội,Ban xe oto cu Mitsubishi Pajero Sport 2021 2.4D 4x4 AT gia 848 Triệu - Hà Nội,80000.0
Toyota Veloz,2026.0,565,TP HCM,Ban xe oto Toyota Veloz 2026 Cross Top 1.5 CVT gia 565 Triệu - TP HCM,
Mazda 3,2017.0,410,Hà Nội,Ban xe oto cu Mazda 3 2017 1.5 AT gia 410 Triệu - Hà Nội,61000.0
Hyundai Creta,2026.0,666,Hà Nội,Ban xe oto Hyundai Creta 2026 N Line 1.5 AT gia 666 Triệu - Hà Nội,
Hyundai Creta,2026.0,610,Hà Nội,Ban xe oto Hyundai Creta 2026 Đặc biệt 1.5 AT gia 610 Triệu - Hà Nội,
Toyota Fortuner,2020.0,693,TP HCM,Ban xe oto cu Toyota Fortuner 2020 2.4G 4x2 AT gia 693 Triệu - TP HCM,92000.0
VinFast VF3,2025.0,265,TP HCM,Ban xe oto VinFast VF3 2025 Plus gia 265 Triệu - TP HCM,
Hyundai Accent,2023.0,438,Hà Nội,Ban xe oto cu Hyundai Accent 2023 1.4 AT gia 438 Triệu - Hà Nội,17000.0
Infiniti QX60,2015.0,680,TP HCM,Ban xe oto cu Infiniti QX60 2015 3.5 AWD gia 680 Triệu - TP HCM,87800.0
VinFast VF3,2025.0,230,Hà Nội,Ban xe oto cu VinFast VF3 2025 Plus gia 230 Triệu - Hà Nội,13000.0
Mazda CX5,2026.0,709,TP HCM,Ban xe oto Mazda CX5 2026 Deluxe 2.0 AT gia 709 Triệu - TP HCM,
Ford Everest,2026.0,1428,TP HCM,Ban xe oto Ford Everest 2026 Titanium Plus 2.0L 4x4 AT gia 1 Tỷ 428 Triệu - TP HCM,
Mitsubishi Xpander,2025.0,635,Hà Nội,Ban xe oto cu Mitsubishi Xpander 2025 Premium 1.5 AT gia 635 Triệu - Hà Nội,24000.0
Porsche Panamera,2011.0,750,Hà Nội,Ban xe oto cu Porsche Panamera 2011 3.6 V6 gia 750 Triệu - Hà Nội,
Suzuki Jimny,2024.0,685,Hà Nội,Ban xe oto cu Suzuki Jimny 2024 1.5L 4x4 AT gia 685 Triệu - Hà Nội,10000.0
Peugeot 3008,2020.0,565,Bình Dương,Ban xe oto cu Peugeot 3008 2020 Allure 1.6 AT gia 565 Triệu - Bình Dương,99000.0
Ford Ranger,2014.0,340,TP HCM,Ban xe oto cu Ford Ranger 2014 XLT 2.2L 4x4 MT gia 340 Triệu - TP HCM,180000.0
Ford Ranger,2019.0,620,Hà Nội,Ban xe oto cu Ford Ranger 2019 Wildtrak 2.0L 4x4 AT gia 620 Triệu - Hà Nội,90000.0
Kia Carnival,2026.0,1699,Hà Nội,Ban xe oto Kia Carnival 2026 Signature 1.6 Turbo HEV 7S gia 1 Tỷ 699 Triệu - Hà Nội,
Mitsubishi Xpander,2024.0,604,TP HCM,Ban xe oto cu Mitsubishi Xpander 2024 Cross 1.5 AT gia 604 Triệu - TP HCM,64000.0
Honda HRV,2026.0,700,Hà Nội,Ban xe oto Honda HRV 2026 L gia 700 Triệu - Hà Nội,
Hyundai Grand Starex,2015.0,315,Hà Nội,Ban xe oto cu Hyundai Grand Starex 2015 Van 2.5 MT gia 315 Triệu - Hà Nội,120000.0
VinFast VF8,2023.0,700,Hà Nội,Ban xe oto cu VinFast VF8 2023 Plus AWD gia 700 Triệu - Hà Nội,35000.0
Suzuki Jimny,2024.0,705,Hà Nội,Ban xe oto cu Suzuki Jimny 2024 1.5L 4x4 AT gia 705 Triệu - Hà Nội,9000.0
Mercedes Benz GLC,2023.0,1879,Hải Phòng,Ban xe oto cu Mercedes Benz GLC 2023 200 4Matic gia 1 Tỷ 879 Triệu - Hải Phòng,27000.0
VinFast VF3,2025.0,226,Hà Nội,Ban xe oto cu VinFast VF3 2025 Plus gia 226 Triệu - Hà Nội,15000.0
Mazda CX5,2023.0,780,TP HCM,Ban xe oto cu Mazda CX5 2023 Premium Exclusive 2.0 AT gia 780 Triệu - TP HCM,25000.0
Hyundai SantaFe,2024.0,1199,Hải Phòng,Ban xe oto cu Hyundai SantaFe 2024 Calligraphy 2.5L HTRAC 6S gia 1 Tỷ 199 Triệu - Hải Phòng,18000.0
Hyundai SantaFe,2023.0,1198,Hà Nội,Ban xe oto cu Hyundai SantaFe 2023 Cao cấp 2.2L HTRAC gia 1 Tỷ 198 Triệu - Hà Nội,34000.0
Mazda 3,2017.0,377,Hà Nội,Ban xe oto cu Mazda 3 2017 1.5 AT gia 377 Triệu - Hà Nội,80000.0
MG ZS,2026.0,430,Hà Nội,Ban xe oto MG ZS 2026 Standard 1.5 AT 2WD gia 430 Triệu - Hà Nội,
Rolls Royce Ghost,2015.0,8299,Hà Nội,Ban xe oto cu Rolls Royce Ghost 2015 Series II gia 8 Tỷ 299 Triệu - Hà Nội,32000.0
LandRover Range Rover,2015.0,3680,Hà Nội,Ban xe oto cu LandRover Range Rover 2015 Autobiography LWB 5.0 gia 3 Tỷ 680 Triệu - Hà Nội,90000.0
Ford Ranger,2016.0,535,Hà Nội,Ban xe oto cu Ford Ranger 2016 Wildtrak 3.2L 4x4 AT gia 535 Triệu - Hà Nội,78000.0
Kia Carnival,2021.0,1060,Hà Nội,Ban xe oto cu Kia Carnival 2021 Signature 2.2D gia 1 Tỷ 60 Triệu - Hà Nội,100000.0
Lexus LS,2010.0,790,Hà Nội,Ban xe oto cu Lexus LS 2010 460L gia 790 Triệu - Hà Nội,90000.0
MG ZS,2023.0,425,Gia Lai,Ban xe oto cu MG ZS 2023 Standard 1.5 AT 2WD gia 425 Triệu - Gia Lai,
Hyundai Elantra,2020.0,425,Hà Nội,Ban xe oto cu Hyundai Elantra 2020 1.6 AT gia 425 Triệu - Hà Nội,90000.0
VinFast VF6,2025.0,514,Hà Nội,Ban xe oto cu VinFast VF6 2025 Eco gia 514 Triệu - Hà Nội,6000.0
BMW 3 Series,2019.0,959,TP HCM,Ban xe oto cu BMW 3 Series 2019 330i M Sport gia 959 Triệu - TP HCM,68000.0
Toyota Innova,2010.0,161,Hà Nội,Ban xe oto cu Toyota Innova 2010 G gia 161 Triệu - Hà Nội,160000.0
Kia Sorento,2021.0,880,Hà Nội,Ban xe oto cu Kia Sorento 2021 Signature 2.2 AT AWD 6S gia 880 Triệu - Hà Nội,80000.0
Toyota Corolla Cross,2023.0,745,TP HCM,Ban xe oto cu Toyota Corolla Cross 2023 1.8V gia 745 Triệu - TP HCM,7000.0
VinFast VF8,2023.0,798,Ninh Bình,Ban xe oto cu VinFast VF8 2023 Plus AWD gia 798 Triệu - Ninh Bình,46000.0
Ford Ranger,2020.0,650,Hà Nội,Ban xe oto cu Ford Ranger 2020 Wildtrak 2.0L 4x4 AT gia 650 Triệu - Hà Nội,
Porsche Macan,2017.0,1739,Hà Nội,Ban xe oto cu Porsche Macan 2017 2.0 gia 1 Tỷ 739 Triệu - Hà Nội,70000.0
VinFast VF3,2026.0,260,Hà Nội,Ban xe oto VinFast VF3 2026 Plus gia 260 Triệu - Hà Nội,
Mercedes Benz C class,2022.0,1568,TP HCM,Ban xe oto cu Mercedes Benz C class 2022 C300 AMG gia 1 Tỷ 568 Triệu - TP HCM,59000.0
Kia Sedona,2018.0,668,Bình Dương,Ban xe oto cu Kia Sedona 2018 2.2L DATH gia 668 Triệu - Bình Dương,72000.0
VinFast VF3,2026.0,273,Hà Nội,Ban xe oto VinFast VF3 2026 Plus gia 273 Triệu - Hà Nội,
Mercedes Benz S class,2021.0,2280,TP HCM,Ban xe oto cu Mercedes Benz S class 2021 S450L Limited Edition gia 2 Tỷ 280 Triệu - TP HCM,39000.0
Ford Territory,2022.0,719,Bình Dương,Ban xe oto cu Ford Territory 2022 Titanium 1.5 AT gia 719 Triệu - Bình Dương,28000.0
Volvo S90,2022.0,1550,Hà Nội,Ban xe oto cu Volvo S90 2022 Ultimate LWB B6 AWD gia 1 Tỷ 550 Triệu - Hà Nội,46000.0
Bentley Flying Spur,2022.0,12500,Hà Nội,Ban xe oto cu Bentley Flying Spur 2022 First Edition W12 gia 12 Tỷ 500 Triệu - Hà Nội,9000.0
Toyota Corolla altis,2002.0,110,Phú Thọ,Ban xe oto cu Toyota Corolla altis 2002 1.8G MT gia 110 Triệu - Phú Thọ,220000.0
Mercedes Benz S class,2019.0,3978,TP HCM,Ban xe oto cu Mercedes Benz S class 2019 S450 4Matic Maybach gia 3 Tỷ 978 Triệu - TP HCM,24567.0
Mercedes Benz S class,2015.0,1199,Hà Nội,Ban xe oto cu Mercedes Benz S class 2015 S500L gia 1 Tỷ 199 Triệu - Hà Nội,125528.0
Ford Everest,2024.0,1030,TP HCM,Ban xe oto cu Ford Everest 2024 Ambiente 2.0L 4x2 AT gia 1 Tỷ 30 Triệu - TP HCM,27000.0
Hyundai Verna,2010.0,130,Hà Giang,Ban xe oto cu Hyundai Verna 2010 1.4 MT gia 130 Triệu - Hà Giang,250000.0
Honda BR V,2026.0,660,Hà Nội,Ban xe oto Honda BR V 2026 L gia 660 Triệu - Hà Nội,
Mazda BT50,2017.0,379,Bà Rịa Vũng Tàu,Ban xe oto cu Mazda BT50 2017 2.2L 4x2 AT gia 379 Triệu - Bà Rịa Vũng Tàu,120000.0
Lexus RX,2016.0,2039,Hà Nội,Ban xe oto cu Lexus RX 2016 350 gia 2 Tỷ 39 Triệu - Hà Nội,10000.0
Skoda Karoq,2025.0,1169,TP HCM,Ban xe oto Skoda Karoq 2025 Sportline 1.4 AT gia 1 Tỷ 169 Triệu - TP HCM,
Hyundai Creta,2025.0,635,Hải Phòng,Ban xe oto cu Hyundai Creta 2025 Đặc biệt 1.5 AT gia 635 Triệu - Hải Phòng,14000.0
Hyundai Creta,2025.0,678,Hà Nội,Ban xe oto Hyundai Creta 2025 N Line 1.5 AT gia 678 Triệu - Hà Nội,
Mazda 323,2002.0,60,Hà Nội,Ban xe oto cu Mazda 323 2002 Classic GLX gia 60 Triệu - Hà Nội,
Mazda CX5,2024.0,825,Bình Dương,Ban xe oto cu Mazda CX5 2024 Premium Sport 2.0 AT gia 825 Triệu - Bình Dương,27000.0
Mercedes Benz C class,2020.0,945,Hà Nội,Ban xe oto cu Mercedes Benz C class 2020 C200 Exclusive gia 945 Triệu - Hà Nội,
Toyota Fortuner,2017.0,598,Hà Nội,Ban xe oto cu Toyota Fortuner 2017 2.4G 4x2 MT gia 598 Triệu - Hà Nội,18000.0
Mercedes Benz GLC,2026.0,2599,Hà Nội,Ban xe oto Mercedes Benz GLC 2026 300 4Matic gia 2 Tỷ 599 Triệu - Hà Nội,
Mercedes Benz E class,2025.0,3199,Hà Nội,Ban xe oto Mercedes Benz E class 2025 E300 AMG gia 3 Tỷ 199 Triệu - Hà Nội,
Mercedes Benz E class,2026.0,3259,Hà Nội,Ban xe oto Mercedes Benz E class 2026 E300 AMG gia 3 Tỷ 259 Triệu - Hà Nội,
Mercedes Benz E class,2025.0,3179,Hà Nội,Ban xe oto Mercedes Benz E class 2025 E300 AMG gia 3 Tỷ 179 Triệu - Hà Nội,
Hyundai Sonata,2017.0,430,Hà Nội,Ban xe oto cu Hyundai Sonata 2017 2.0 AT gia 430 Triệu - Hà Nội,11000.0
Volkswagen Viloran,2025.0,2088,TP HCM,Ban xe oto Volkswagen Viloran 2025 Premium gia 2 Tỷ 88 Triệu - TP HCM,
Lexus GX,2015.0,2190,Hà Nội,Ban xe oto cu Lexus GX 2015 460 gia 2 Tỷ 190 Triệu - Hà Nội,110000.0
Mercedes Benz C class,2016.0,635,TP HCM,Ban xe oto cu Mercedes Benz C class 2016 C300 AMG gia 635 Triệu - TP HCM,96686.0
Mitsubishi Xpander,2026.0,612,Hà Nội,Ban xe oto Mitsubishi Xpander 2026 Cross 1.5 AT gia 612 Triệu - Hà Nội,
Toyota Land Cruiser,2026.0,4580,Hà Nội,Ban xe oto Toyota Land Cruiser 2026 3.5 V6 gia 4 Tỷ 580 Triệu - Hà Nội,
Ford Everest,2026.0,1339,Hà Nội,Ban xe oto Ford Everest 2026 Titanium Plus 2.0L 4x4 AT gia 1 Tỷ 339 Triệu - Hà Nội,
Toyota Camry,2020.0,900,Hà Nội,Ban xe oto cu Toyota Camry 2020 2.5Q gia 900 Triệu - Hà Nội,700000.0
VinFast VF8,2026.0,790,Hà Nội,Ban xe oto VinFast VF8 2026 Eco gia 790 Triệu - Hà Nội,
Ford Ranger,2019.0,560,Hà Nội,Ban xe oto cu Ford Ranger 2019 XLS 2.2L 4x2 AT gia 560 Triệu - Hà Nội,35000.0
Toyota Prado,2019.0,1970,Hà Nội,Ban xe oto cu Toyota Prado 2019 VX 2.7L gia 1 Tỷ 970 Triệu - Hà Nội,90000.0
Mercedes Benz GLC,2021.0,1539,Hải Phòng,Ban xe oto cu Mercedes Benz GLC 2021 300 4Matic gia 1 Tỷ 539 Triệu - Hải Phòng,58000.0
Kia Carnival,2026.0,1524,Hà Nội,Ban xe oto Kia Carnival 2026 Signature 2.2D gia 1 Tỷ 524 Triệu - Hà Nội,
Chevrolet Cruze,2016.0,245,Ninh Bình,Ban xe oto cu Chevrolet Cruze 2016 LTZ 1.8 AT gia 245 Triệu - Ninh Bình,75000.0
Lexus GX,2015.0,2180,Hà Nội,Ban xe oto cu Lexus GX 2015 460 gia 2 Tỷ 180 Triệu - Hà Nội,110000.0
Toyota Camry,2004.0,185,Hà Nội,Ban xe oto cu Toyota Camry 2004 2.4G gia 185 Triệu - Hà Nội,290000.0
Toyota Corolla altis,2019.0,495,Hà Nội,Ban xe oto cu Toyota Corolla altis 2019 1.8G AT gia 495 Triệu - Hà Nội,87000.0
Honda CRV,2019.0,750,Hà Nội,Ban xe oto cu Honda CRV 2019 L gia 750 Triệu - Hà Nội,60000.0
Porsche Macan,2023.0,2990,TP HCM,Ban xe oto cu Porsche Macan 2023 2.0 gia 2 Tỷ 990 Triệu - TP HCM,24000.0
Toyota Innova,2023.0,899,Hà Nội,Ban xe oto cu Toyota Innova 2023 Cross HEV 2.0 CVT gia 899 Triệu - Hà Nội,70000.0
Honda CRV,2010.0,299,Hà Nội,Ban xe oto cu Honda CRV 2010 2.4 AT gia 299 Triệu - Hà Nội,127280.0
VinFast VF7,2025.0,795,Long An,Ban xe oto cu VinFast VF7 2025 Plus AWD gia 795 Triệu - Long An,13000.0
Mazda 6,2020.0,525,Đà Nẵng,Ban xe oto cu Mazda 6 2020 Premium 2.0 AT gia 525 Triệu - Đà Nẵng,69000.0
Honda CRV,2011.0,295,Hà Nội,Ban xe oto cu Honda CRV 2011 2.0 AT gia 295 Triệu - Hà Nội,130000.0
Isuzu QKR,2026.0,876,TP HCM,Ban xe oto Isuzu QKR 2026 270 gia 876 Triệu - TP HCM,
Lexus RX,2018.0,2460,Hà Nội,Ban xe oto cu Lexus RX 2018 350 gia 2 Tỷ 460 Triệu - Hà Nội,74000.0
VinFast VF8,2023.0,470,Hà Nội,Ban xe oto cu VinFast VF8 2023 Eco AWD gia 470 Triệu - Hà Nội,50000.0
Hyundai SantaFe,2021.0,1030,Hà Nội,Ban xe oto cu Hyundai SantaFe 2021 Cao cấp 2.2L HTRAC gia 1 Tỷ 30 Triệu - Hà Nội,29000.0
Hyundai SantaFe,2017.0,655,Hà Nội,Ban xe oto cu Hyundai SantaFe 2017 2.2L 4WD gia 655 Triệu - Hà Nội,100000.0
Mini Cooper,2019.0,1150,Hà Nội,Ban xe oto cu Mini Cooper 2019 S 5Dr gia 1 Tỷ 150 Triệu - Hà Nội,40000.0
Toyota Sienna,2016.0,1850,TP HCM,Ban xe oto cu Toyota Sienna 2016 Limited 3.5 gia 1 Tỷ 850 Triệu - TP HCM,85731.0
Audi A8,2022.0,3538,TP HCM,Ban xe oto cu Audi A8 2022 L 55 TFSI Quattro gia 3 Tỷ 538 Triệu - TP HCM,23000.0
Mercedes Benz S class,2016.0,2799,Hà Nội,Ban xe oto cu Mercedes Benz S class 2016 S400 Maybach gia 2 Tỷ 799 Triệu - Hà Nội,20000.0
Mercedes Benz S class,2019.0,3639,Hà Nội,Ban xe oto cu Mercedes Benz S class 2019 S450 4Matic Maybach gia 3 Tỷ 639 Triệu - Hà Nội,40000.0
LandRover Range Rover Evoque,2021.0,1750,Hà Nội,Ban xe oto cu LandRover Range Rover Evoque 2021 2.0 AT gia 1 Tỷ 750 Triệu - Hà Nội,20000.0
Porsche Macan,2017.0,1739,Hà Nội,Ban xe oto cu Porsche Macan 2017 S gia 1 Tỷ 739 Triệu - Hà Nội,52000.0
Lexus RX,2022.0,2980,Hà Nội,Ban xe oto cu Lexus RX 2022 300 gia 2 Tỷ 980 Triệu - Hà Nội,29000.0
Mazda CX5,2025.0,799,Hà Nội,Ban xe oto cu Mazda CX5 2025 Premium 2.0 AT gia 799 Triệu - Hà Nội,8000.0
Mazda CX8,2026.0,979,Hà Nội,Ban xe oto Mazda CX8 2026 Premium 2.5 AT gia 979 Triệu - Hà Nội,
Honda BR V,2024.0,589,TP HCM,Ban xe oto cu Honda BR V 2024 G gia 589 Triệu - TP HCM,9000.0
BMW 3 Series,2025.0,1479,TP HCM,Ban xe oto cu BMW 3 Series 2025 320i Sport Line gia 1 Tỷ 479 Triệu - TP HCM,8999.0
Porsche Cayenne,2014.0,1480,Hà Nội,Ban xe oto cu Porsche Cayenne 2014 S gia 1 Tỷ 480 Triệu - Hà Nội,100000.0
VinFast Fadil,2021.0,285,Hải Phòng,Ban xe oto cu VinFast Fadil 2021 1.4 AT gia 285 Triệu - Hải Phòng,60000.0
Volkswagen Golf,2025.0,998,TP HCM,Ban xe oto Volkswagen Golf 2025 1.5 eTSI R-Line gia 998 Triệu - TP HCM,
Volkswagen Teramont,2025.0,2488,TP HCM,Ban xe oto Volkswagen Teramont 2025 President 2.0 AT gia 2 Tỷ 488 Triệu - TP HCM,
VinFast VF e34,2023.0,450,Hà Nội,Ban xe oto cu VinFast VF e34 2023 AT gia 450 Triệu - Hà Nội,50000.0
Mercedes Benz GLC,2024.0,2459,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2024 300 4Matic gia 2 Tỷ 459 Triệu - Hà Nội,10000.0
Mini Cooper,2019.0,1490,Hà Nội,Ban xe oto cu Mini Cooper 2019 JCW 3Dr gia 1 Tỷ 490 Triệu - Hà Nội,40000.0
Chevrolet Cruze,2016.0,256,Bình Dương,Ban xe oto cu Chevrolet Cruze 2016 LTZ 1.8 AT gia 256 Triệu - Bình Dương,68000.0
Porsche Cayenne,2013.0,1289,Hà Nội,Ban xe oto cu Porsche Cayenne 2013 3.6 V6 gia 1 Tỷ 289 Triệu - Hà Nội,110000.0
VinFast VF3,2026.0,260,Hà Nội,Ban xe oto VinFast VF3 2026 Plus gia 260 Triệu - Hà Nội,
Toyota Camry,2021.0,840,TP HCM,Ban xe oto cu Toyota Camry 2021 2.0G gia 840 Triệu - TP HCM,54247.0
Mitsubishi Triton,2026.0,580,Hà Nội,Ban xe oto Mitsubishi Triton 2026 GLX 2WD AT gia 580 Triệu - Hà Nội,
Toyota Corolla Cross,2026.0,805,Hải Phòng,Ban xe oto Toyota Corolla Cross 2026 1.8V gia 805 Triệu - Hải Phòng,
