Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
Hyundai SantaFe,2016.0,539,Hà Nội,Ban xe oto cu Hyundai SantaFe 2016 2.2L 4WD gia 539 Triệu - Hà Nội,146000.0
Mitsubishi Pajero Sport,2018.0,659,Hà Nội,Ban xe oto cu Mitsubishi Pajero Sport 2018 3.0G 4x4 AT Premium gia 659 Triệu - Hà Nội,78000.0
MG ZS,2021.0,369,Hà Nội,Ban xe oto cu MG ZS 2021 Standard 1.5 AT 2WD gia 369 Triệu - Hà Nội,72000.0
Kia Morning,2019.0,295,Hà Nội,Ban xe oto cu Kia Morning 2019 Luxury gia 295 Triệu - Hà Nội,50000.0
Toyota Wigo,2026.0,373,Hà Nội,Ban xe oto Toyota Wigo 2026 G 1.2 AT gia 373 Triệu - Hà Nội,
VinFast VF8,2026.0,856,Hà Nội,Ban xe oto VinFast VF8 2026 Eco gia 856 Triệu - Hà Nội,
Mini Cooper,2024.0,1929,TP HCM,Ban xe oto cu Mini Cooper 2024 S 3 Door gia 1 Tỷ 929 Triệu - TP HCM,2900.0
Toyota Corolla Cross,2026.0,733,Hà Nội,Ban xe oto Toyota Corolla Cross 2026 1.8V gia 733 Triệu - Hà Nội,
Lexus ES,2019.0,1739,Hà Nội,Ban xe oto cu Lexus ES 2019 250 gia 1 Tỷ 739 Triệu - Hà Nội,60000.0
Hyundai Kona,2021.0,488,Hà Nội,Ban xe oto cu Hyundai Kona 2021 Tiêu Chuẩn 2.0 AT gia 488 Triệu - Hà Nội,61000.0
Toyota Yaris,2009.0,198,Hà Nội,Ban xe oto cu Toyota Yaris 2009 1.3 AT gia 198 Triệu - Hà Nội,
Toyota Hilux,2026.0,683,Hà Nội,Ban xe oto Toyota Hilux 2026 Pro 2.8L 4x2 AT gia 683 Triệu - Hà Nội,
Toyota Raize,2026.0,473,Hà Nội,Ban xe oto Toyota Raize 2026 G 1.0 CVT gia 473 Triệu - Hà Nội,
Hyundai Palisade,2023.0,1290,Hà Nội,Ban xe oto cu Hyundai Palisade 2023 Prestige 2.2 AT HTRAC gia 1 Tỷ 290 Triệu - Hà Nội,69000.0
MG ZS,2024.0,488,Hà Nội,Ban xe oto cu MG ZS 2024 Luxury 1.5 AT 2WD gia 488 Triệu - Hà Nội,15000.0
Nissan Almera,2024.0,475,Hà Nội,Ban xe oto cu Nissan Almera 2024 V 1.0 CVT gia 475 Triệu - Hà Nội,10000.0
Mercedes Benz C class,2020.0,938,Hà Nội,Ban xe oto cu Mercedes Benz C class 2020 C200 Exclusive gia 938 Triệu - Hà Nội,80000.0
Kia Seltos,2021.0,559,Hà Nội,Ban xe oto cu Kia Seltos 2021 Luxury 1.4 AT gia 559 Triệu - Hà Nội,57000.0
MG ZS,2023.0,475,Hà Nội,Ban xe oto cu MG ZS 2023 Luxury 1.5 AT 2WD gia 475 Triệu - Hà Nội,26000.0
Mazda CX5,2024.0,828,Hà Nội,Ban xe oto cu Mazda CX5 2024 Premium Sport 2.0 AT gia 828 Triệu - Hà Nội,10000.0
Kia Seltos,2024.0,628,Hà Nội,Ban xe oto cu Kia Seltos 2024 Luxury 1.5 AT gia 628 Triệu - Hà Nội,30000.0
Hyundai Tucson,2020.0,658,Hà Nội,Ban xe oto cu Hyundai Tucson 2020 2.0 ATH gia 658 Triệu - Hà Nội,75000.0
Mercedes Benz C class,2020.0,870,Hà Nội,Ban xe oto cu Mercedes Benz C class 2020 C200 Exclusive gia 870 Triệu - Hà Nội,98000.0
Mazda 6,2022.0,675,Hà Nội,Ban xe oto cu Mazda 6 2022 Signature Premium 2.5 AT gia 675 Triệu - Hà Nội,40000.0
VinFast Lux SA 2.0,2019.0,560,Hà Nội,Ban xe oto cu VinFast Lux SA 2.0 2019 Premium 2.0 AT gia 560 Triệu - Hà Nội,110000.0
Kia K5,2022.0,755,Hà Nội,Ban xe oto cu Kia K5 2022 GT-Line 2.5 AT gia 755 Triệu - Hà Nội,58000.0
Mazda CX5,2025.0,850,Hà Nội,Ban xe oto cu Mazda CX5 2025 Premium Sport 2.0 AT gia 850 Triệu - Hà Nội,0.0
Ford Ranger,2025.0,1190,Hà Nội,Ban xe oto cu Ford Ranger 2025 Raptor 2.0L 4x4 AT gia 1 Tỷ 190 Triệu - Hà Nội,12000.0
Mercedes Benz GLC,2023.0,2250,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2023 300 4Matic gia 2 Tỷ 250 Triệu - Hà Nội,29000.0
BMW 3 Series,2025.0,1479,Hà Nội,Ban xe oto BMW 3 Series 2025 320i Sport Line gia 1 Tỷ 479 Triệu - Hà Nội,
Porsche Macan,2022.0,3179,Hà Nội,Ban xe oto cu Porsche Macan 2022 2.0 gia 3 Tỷ 179 Triệu - Hà Nội,20000.0
Mercedes Benz E class,2021.0,1239,Hà Nội,Ban xe oto cu Mercedes Benz E class 2021 E180 gia 1 Tỷ 239 Triệu - Hà Nội,32000.0
VinFast VF3,2026.0,264,Hà Nội,Ban xe oto VinFast VF3 2026 Eco gia 264 Triệu - Hà Nội,
Mercedes Benz C class,2017.0,699,TP HCM,Ban xe oto cu Mercedes Benz C class 2017 C200 gia 699 Triệu - TP HCM,44000.0
Toyota Corolla Cross,2026.0,829,Hà Nội,Ban xe oto Toyota Corolla Cross 2026 1.8HEV gia 829 Triệu - Hà Nội,
Mercedes Benz S class,2011.0,530,Cần Thơ,Ban xe oto cu Mercedes Benz S class 2011 S300L gia 530 Triệu - Cần Thơ,102648.0
